13C CP-TOSS
143, -1430602, 36392.6265, 289.385939
144, -1393012, 36386.5230, 289.337405
145, -1338119, 36380.4195, 289.288871
146, -1291511, 36374.3160, 289.240337
147, -1276771, 36368.2125, 289.191804
148, -1309958, 36362.1090, 289.143270
149, -1396501, 36356.0054, 289.094736
150, -1532156, 36349.9019, 289.046202
151, -1706768, 36343.7984, 288.997669
152, -1908031, 36337.6949, 288.949135
153, -2123218, 36331.5914, 288.900601
154, -2339048, 36325.4879, 288.852067
155, -2541396, 36319.3843, 288.803533
156, -2716237, 36313.2808, 288.755000
157, -2851652, 36307.1773, 288.706466
158, -2939169, 36301.0738, 288.657932
159, -2972809, 36294.9703, 288.609398
160, -2946115, 36288.8668, 288.560865
161, -2849620, 36282.7632, 288.512331
162, -2671451, 36276.6597, 288.463797
163, -2401656, 36270.5562, 288.415263
164, -2037990, 36264.4527, 288.366730
165, -1589811, 36258.3492, 288.318196
166, -1077872, 36252.2457, 288.269662
167, -530212, 36246.1422, 288.221128
168, 23967, 36240.0386, 288.172594
169, 560440, 36233.9351, 288.124061
170, 1064657, 36227.8316, 288.075527
171, 1533956, 36221.7281, 288.026993
172, 1976154, 36215.6246, 287.978459
173, 2404153, 36209.5211, 287.929926
174, 2828264, 36203.4175, 287.881392
175, 3249695, 36197.3140, 287.832858
176, 3657929, 36191.2105, 287.784324
177, 4031879, 36185.1070, 287.735790
178, 4342673, 36179.0035, 287.687257
179, 4556868, 36172.9000, 287.638723
180, 4640663, 36166.7965, 287.590189
181, 4565943, 36160.6929, 287.541655
182, 4317130, 36154.5894, 287.493122
183, 3896580, 36148.4859, 287.444588
184, 3326821, 36142.3824, 287.396054
185, 2649134, 36136.2789, 287.347520
186, 1918625, 36130.1754, 287.298986
187, 1196445, 36124.0718, 287.250453
188, 540569, 36117.9683, 287.201919
189, -2784, 36111.8648, 287.153385
190, -405499, 36105.7613, 287.104851
191, -660819, 36099.6578, 287.056318
192, -782774, 36093.5543, 287.007784
193, -801196, 36087.4507, 286.959250
194, -753117, 36081.3472, 286.910716
195, -673500, 36075.2437, 286.862182
196, -589133, 36069.1402, 286.813649
197, -517811, 36063.0367, 286.765115
198, -471885, 36056.9332, 286.716581
199, -462783, 36050.8297, 286.668047
200, -502879, 36044.7261, 286.619514
201, -603271, 36038.6226, 286.570980
202, -769496, 36032.5191, 286.522446
203, -999235, 36026.4156, 286.473912
204, -1284617, 36020.3121, 286.425378
205, -1547096, 36014.2086, 286.376845
206, -1857800, 36008.1050, 286.328311
207, -2214699, 36002.0015, 286.279777
208, -2616761, 35995.8980, 286.231243
209, -3054887, 35989.7945, 286.182710
210, -3506776, 35983.6910, 286.134176
211, -3936183, 35977.5875, 286.085642
212, -4297967, 35971.4840, 286.037108
213, -4548200, 35965.3804, 285.988574
214, -4656080, 35959.2769, 285.940041
215, -4613004, 35953.1734, 285.891507
216, -4435285, 35947.0699, 285.842973
217, -4159824, 35940.9664, 285.794439
218, -3834771, 35934.8629, 285.745906
219, -3508348, 35928.7593, 285.697372
220, -3218883, 35922.6558, 285.648838
221, -2988474, 35916.5523, 285.600304
